number,created_at,closed_at,merged_at,user,state,comments
5821,2024-02-23 08:54:21+00:00,2024-04-16 02:55:09+00:00,2024-04-16 02:55:09+00:00,ygj6,closed,0
5819,2024-02-14 12:26:52+00:00,2025-01-23 19:48:33+00:00,,lpabinash,closed,1
5816,2024-02-09 00:27:02+00:00,2024-02-29 23:29:54+00:00,,parulagrawal27,closed,2
5815,2024-02-08 14:55:30+00:00,2025-01-23 19:50:44+00:00,,tkrotoff,closed,1
5813,2024-02-04 22:24:21+00:00,,,jlennox,open,0
5807,2024-01-24 07:31:06+00:00,2024-11-12 20:48:17+00:00,,denbon05,closed,1
5806,2024-01-24 07:27:14+00:00,2024-01-24 07:28:13+00:00,,denbon05,closed,0
5799,2024-01-04 09:09:39+00:00,2025-01-23 19:49:48+00:00,,deje1011,closed,1
5798,2024-01-02 21:06:35+00:00,2025-01-23 19:50:21+00:00,,sid0-0,closed,1
5796,2023-12-29 18:22:00+00:00,2024-11-12 20:48:16+00:00,,danewhitfield,closed,0
5793,2023-12-26 13:36:23+00:00,2024-11-12 20:48:15+00:00,,arafatkn,closed,0
5789,2023-12-17 03:47:27+00:00,2024-01-11 17:07:58+00:00,2024-01-11 17:07:58+00:00,jinbekim,closed,1
5787,2023-12-13 16:31:54+00:00,2024-11-12 20:48:15+00:00,,WOLFRIEND,closed,0
5785,2023-12-11 13:52:28+00:00,2024-07-10 20:56:04+00:00,2024-07-10 20:56:04+00:00,KEHyeon,closed,1
5782,2023-11-30 12:39:16+00:00,2024-11-12 20:49:17+00:00,,Sampaguitas,closed,1
5776,2023-11-15 08:05:12+00:00,2024-11-12 20:49:16+00:00,,MdAfzaalkhan,closed,1
5771,2023-11-03 21:07:29+00:00,2024-11-12 20:49:15+00:00,,HarishRMaryada,closed,0
5769,2023-10-31 21:48:49+00:00,2025-01-23 19:49:59+00:00,,targhs,closed,1
5768,2023-10-31 09:17:45+00:00,2023-10-31 09:18:23+00:00,,ritvikraj1998,closed,0
5766,2023-10-29 08:38:31+00:00,,,kim-jaedeok,open,0
5759,2023-10-25 09:35:09+00:00,2025-01-23 19:50:09+00:00,,Seigiard,closed,1
5755,2023-10-19 03:48:14+00:00,2024-04-16 02:55:11+00:00,2024-04-16 02:55:11+00:00,KazooTTT,closed,0
5754,2023-10-14 21:07:42+00:00,2024-07-10 21:12:30+00:00,,Reterics,closed,1
5748,2023-10-08 18:35:25+00:00,2024-11-12 20:48:34+00:00,,evens-stone,closed,0
5745,2023-10-03 22:20:23+00:00,2024-11-12 20:48:33+00:00,,buondevid,closed,0
5743,2023-09-29 18:40:37+00:00,2023-10-01 22:35:21+00:00,,eitanwass,closed,1
5741,2023-09-26 15:48:57+00:00,2023-09-27 17:00:45+00:00,2023-09-27 17:00:45+00:00,tisonkun,closed,2
5739,2023-09-26 10:41:04+00:00,2024-11-12 20:48:32+00:00,,victimsss,closed,2
5736,2023-09-24 14:11:05+00:00,2023-09-25 17:44:13+00:00,,joyson-madtha0,closed,0
5733,2023-09-21 08:09:05+00:00,2023-09-21 14:40:27+00:00,2023-09-21 14:40:27+00:00,tisonkun,closed,1
5728,2023-09-19 17:50:29+00:00,2023-09-19 22:11:01+00:00,2023-09-19 22:11:01+00:00,tisonkun,closed,1
5718,2023-09-16 21:53:10+00:00,2023-09-16 23:15:37+00:00,,ILikeTeaALot,closed,3
5712,2023-09-11 09:16:25+00:00,2023-09-16 18:44:14+00:00,,codersjj,closed,0
5711,2023-09-08 06:50:35+00:00,2023-09-08 06:51:01+00:00,,amaybaum,closed,0
5710,2023-09-08 02:31:46+00:00,2023-09-16 18:44:12+00:00,,qiufeihong2018,closed,0
5707,2023-09-06 13:59:57+00:00,2023-09-16 18:44:12+00:00,,ghost,closed,0
5706,2023-08-31 14:06:07+00:00,2023-09-16 18:44:11+00:00,,dev-davidyoon,closed,0
5705,2023-08-31 06:18:10+00:00,2023-09-16 18:44:11+00:00,,humingMocking,closed,1
5703,2023-08-29 14:15:24+00:00,2023-09-16 18:44:10+00:00,,PadamSandhu,closed,0
5702,2023-08-25 17:53:55+00:00,2023-09-16 18:44:10+00:00,,mehaxan,closed,3
5701,2023-08-25 05:14:59+00:00,2023-09-16 18:44:10+00:00,,RohitPaul0007,closed,0
5700,2023-08-25 05:14:06+00:00,2023-09-16 18:44:09+00:00,,RohitPaul0007,closed,0
5699,2023-08-25 05:13:23+00:00,2023-09-16 18:44:09+00:00,,RohitPaul0007,closed,0
5698,2023-08-25 05:11:26+00:00,2023-09-16 18:44:08+00:00,,RohitPaul0007,closed,0
5697,2023-08-25 05:10:18+00:00,2023-09-16 18:44:08+00:00,,RohitPaul0007,closed,0
5696,2023-08-25 05:07:57+00:00,2023-09-16 18:44:07+00:00,,RohitPaul0007,closed,0
5695,2023-08-25 05:07:05+00:00,2023-09-16 18:44:07+00:00,,RohitPaul0007,closed,0
5694,2023-08-25 05:06:30+00:00,2023-09-16 18:44:06+00:00,,RohitPaul0007,closed,0
5693,2023-08-25 05:05:20+00:00,2023-09-16 18:44:06+00:00,,RohitPaul0007,closed,0
5688,2023-08-04 02:22:54+00:00,2023-09-16 18:44:05+00:00,,h,closed,0
5687,2023-07-28 18:03:41+00:00,2023-09-16 18:44:05+00:00,,russdanna,closed,0
5686,2023-07-28 17:25:23+00:00,2023-09-16 18:44:04+00:00,,zcericola,closed,5
5685,2023-07-28 11:40:03+00:00,2023-09-16 18:44:04+00:00,,VadimBorodin,closed,0
5677,2023-07-11 14:35:07+00:00,2023-09-16 18:44:03+00:00,,fudeel,closed,0
5675,2023-07-07 04:02:44+00:00,2023-09-16 18:44:03+00:00,,Taragryen,closed,0
5670,2023-06-25 09:56:01+00:00,2023-06-25 09:56:33+00:00,,rezagholami1998,closed,0
5668,2023-06-20 22:07:38+00:00,2023-09-16 18:44:02+00:00,,NorielSylvire,closed,0
5664,2023-06-11 07:50:44+00:00,2023-06-13 10:06:13+00:00,,KhurramJalil,closed,5
5661,2023-06-06 20:13:59+00:00,2023-09-16 18:44:02+00:00,,700software,closed,0
5659,2023-06-03 17:32:28+00:00,2023-09-16 18:44:01+00:00,,MFahad777,closed,0
5657,2023-06-01 00:06:19+00:00,2023-09-16 18:44:36+00:00,,jstevenat,closed,0
5656,2023-05-30 02:10:37+00:00,2023-05-30 05:13:55+00:00,,afc163,closed,2
5649,2023-05-18 11:29:23+00:00,2023-09-16 18:44:35+00:00,,wilsonpinto,closed,2
5648,2023-05-16 20:55:32+00:00,2023-09-16 18:44:34+00:00,,anmol242,closed,1
5647,2023-05-16 20:40:38+00:00,2023-09-16 18:44:34+00:00,,anmol242,closed,0
5640,2023-04-29 10:57:35+00:00,2023-09-16 18:44:33+00:00,,ikennaoyekwe,closed,0
